Station_ID,Date_Time,wind_speed_set_1,wind_direction_set_1
KSNT,05/01/2020 02:51 UTC,0,0
KSNT,05/01/2020 03:51 UTC,0,0
KSNT,05/01/2020 04:51 UTC,3.44,160
KSNT,05/01/2020 05:51 UTC,0,0
KSNT,05/01/2020 06:51 UTC,4.61,170
KSNT,05/01/2020 07:51 UTC,3.44,190
KSNT,05/01/2020 08:51 UTC,4.61,160
KSNT,05/01/2020 09:51 UTC,3.44,90
KSNT,05/01/2020 10:51 UTC,0,0
KSNT,05/01/2020 11:51 UTC,0,0
KSNT,05/01/2020 12:51 UTC,3.44,270
KSNT,05/01/2020 13:51 UTC,0,0
KSNT,05/01/2020 14:51 UTC,3.44,20
KSNT,05/01/2020 15:51 UTC,0,0
KSNT,05/01/2020 16:51 UTC,5.75,
KSNT,05/01/2020 17:51 UTC,3.44,
KSNT,05/01/2020 18:51 UTC,8.05,340
KSNT,05/01/2020 19:51 UTC,4.61,
KSNT,05/01/2020 20:51 UTC,3.44,
KSNT,05/01/2020 21:51 UTC,8.05,230
KSNT,05/01/2020 22:51 UTC,12.66,310
KSNT,05/01/2020 23:51 UTC,10.36,320
KSNT,05/02/2020 00:51 UTC,3.44,
KSNT,05/02/2020 01:51 UTC,4.61,
KSNT,05/02/2020 02:51 UTC,5.75,180
KSNT,05/02/2020 03:51 UTC,4.61,160
KSNT,05/02/2020 04:51 UTC,4.61,180
KSNT,05/02/2020 05:51 UTC,3.44,170
KSNT,05/02/2020 06:51 UTC,0,0
KSNT,05/02/2020 07:51 UTC,3.44,170
KSNT,05/02/2020 08:51 UTC,3.44,190
KSNT,05/02/2020 09:51 UTC,3.44,190
KSNT,05/02/2020 10:51 UTC,3.44,170
KSNT,05/02/2020 11:51 UTC,0,0
KSNT,05/02/2020 12:51 UTC,0,0
KSNT,05/02/2020 13:51 UTC,0,0
KSNT,05/02/2020 14:51 UTC,0,0
KSNT,05/02/2020 15:51 UTC,3.44,
KSNT,05/02/2020 16:51 UTC,5.75,350
KSNT,05/02/2020 17:51 UTC,0,0
KSNT,05/02/2020 18:51 UTC,0,0
KSNT,05/02/2020 19:51 UTC,16.11,160
KSNT,05/02/2020 20:51 UTC,6.91,
KSNT,05/02/2020 21:51 UTC,4.61,180
KSNT,05/02/2020 22:51 UTC,4.61,
KSNT,05/02/2020 23:51 UTC,9.22,180
KSNT,05/03/2020 00:51 UTC,5.75,160
KSNT,05/03/2020 01:51 UTC,8.05,160
KSNT,05/03/2020 02:51 UTC,5.75,170
KSNT,05/03/2020 03:51 UTC,4.61,
KSNT,05/03/2020 04:51 UTC,8.05,190
KSNT,05/03/2020 05:51 UTC,6.91,140
KSNT,05/03/2020 06:51 UTC,5.75,280
KSNT,05/03/2020 07:51 UTC,5.75,270
KSNT,05/03/2020 08:51 UTC,0,0
KSNT,05/03/2020 09:51 UTC,3.44,200
KSNT,05/03/2020 10:51 UTC,0,0
KSNT,05/03/2020 11:51 UTC,4.61,270
KSNT,05/03/2020 12:51 UTC,10.36,340
KSNT,05/03/2020 13:51 UTC,NULL,NULL
KSNT,05/03/2020 14:51 UTC,4.61,90
KSNT,05/03/2020 15:51 UTC,NULL,NULL
KSNT,05/03/2020 16:51 UTC,NULL,NULL
KSNT,05/03/2020 17:51 UTC,NULL,NULL
KSNT,05/03/2020 18:51 UTC,6.91,
KSNT,05/03/2020 19:51 UTC,11.5,40
KSNT,05/03/2020 20:51 UTC,9.22,340
KSNT,05/03/2020 21:51 UTC,10.36,280
KSNT,05/03/2020 22:51 UTC,6.91,
KSNT,05/03/2020 23:51 UTC,4.61,
KSNT,05/04/2020 00:51 UTC,4.61,
KSNT,05/04/2020 01:51 UTC,10.36,330
KSNT,05/04/2020 02:51 UTC,4.61,290
KSNT,05/04/2020 03:51 UTC,4.61,
KSNT,05/04/2020 04:51 UTC,4.61,330
KSNT,05/04/2020 05:51 UTC,0,0
KSNT,05/04/2020 06:51 UTC,0,0
KSNT,05/04/2020 07:51 UTC,0,0
KSNT,05/04/2020 08:51 UTC,0,0
KSNT,05/04/2020 09:51 UTC,3.44,190
KSNT,05/04/2020 10:51 UTC,0,0
KSNT,05/04/2020 11:51 UTC,0,0
KSNT,05/04/2020 12:51 UTC,0,0
KSNT,05/04/2020 13:51 UTC,3.44,80
KSNT,05/04/2020 14:51 UTC,3.44,
KSNT,05/04/2020 15:51 UTC,5.75,30
KSNT,05/04/2020 16:51 UTC,12.66,350
KSNT,05/04/2020 17:51 UTC,9.22,320
KSNT,05/04/2020 18:51 UTC,9.22,210
KSNT,05/04/2020 19:51 UTC,4.61,
KSNT,05/04/2020 20:51 UTC,9.22,200
KSNT,05/04/2020 21:51 UTC,6.91,
KSNT,05/04/2020 22:51 UTC,5.75,240
KSNT,05/04/2020 23:51 UTC,3.44,
KSNT,05/05/2020 00:51 UTC,0,0
KSNT,05/05/2020 01:51 UTC,0,0
KSNT,05/05/2020 02:51 UTC,3.44,210
KSNT,05/05/2020 03:51 UTC,3.44,190
KSNT,05/05/2020 04:51 UTC,4.61,170
KSNT,05/05/2020 05:51 UTC,4.61,170
KSNT,05/05/2020 06:51 UTC,0,0
KSNT,05/05/2020 07:51 UTC,3.44,190
KSNT,05/05/2020 08:51 UTC,4.61,180
KSNT,05/05/2020 09:51 UTC,3.44,180
KSNT,05/05/2020 10:51 UTC,0,0
KSNT,05/05/2020 11:51 UTC,0,0
KSNT,05/05/2020 12:51 UTC,0,0
KSNT,05/05/2020 13:51 UTC,3.44,80
KSNT,05/05/2020 14:51 UTC,0,0
KSNT,05/05/2020 15:51 UTC,0,0
KSNT,05/05/2020 16:51 UTC,3.44,
KSNT,05/05/2020 17:51 UTC,3.44,
KSNT,05/05/2020 18:51 UTC,3.44,
KSNT,05/05/2020 19:51 UTC,10.36,170
KSNT,05/05/2020 20:51 UTC,3.44,
KSNT,05/05/2020 21:51 UTC,8.05,170
KSNT,05/05/2020 22:51 UTC,9.22,200
KSNT,05/05/2020 23:51 UTC,5.75,
KSNT,05/06/2020 00:51 UTC,8.05,160
KSNT,05/06/2020 01:51 UTC,0,0
KSNT,05/06/2020 02:51 UTC,4.61,180
KSNT,05/06/2020 03:51 UTC,0,0
KSNT,05/06/2020 04:51 UTC,5.75,140
KSNT,05/06/2020 05:51 UTC,5.75,120
KSNT,05/06/2020 06:51 UTC,6.91,130
KSNT,05/06/2020 07:51 UTC,9.22,130
KSNT,05/06/2020 08:51 UTC,8.05,160
KSNT,05/06/2020 09:51 UTC,9.22,150
KSNT,05/06/2020 10:51 UTC,9.22,150
KSNT,05/06/2020 11:51 UTC,5.75,170
KSNT,05/06/2020 12:51 UTC,0,0
KSNT,05/06/2020 13:51 UTC,0,0
KSNT,05/06/2020 14:51 UTC,0,0
KSNT,05/06/2020 15:51 UTC,9.22,250
KSNT,05/06/2020 16:51 UTC,17.27,290
KSNT,05/06/2020 17:51 UTC,13.8,230
KSNT,05/06/2020 18:51 UTC,8.05,50
KSNT,05/06/2020 19:51 UTC,6.91,
KSNT,05/06/2020 20:51 UTC,12.66,290
KSNT,05/06/2020 21:51 UTC,10.36,320
KSNT,05/06/2020 22:51 UTC,12.66,320
KSNT,05/06/2020 23:51 UTC,14.97,300
KSNT,05/07/2020 00:51 UTC,11.5,290
KSNT,05/07/2020 01:51 UTC,11.5,310
KSNT,05/07/2020 02:51 UTC,6.91,320
KSNT,05/07/2020 03:51 UTC,0,0
KSNT,05/07/2020 04:51 UTC,0,0
KSNT,05/07/2020 05:51 UTC,0,0
KSNT,05/07/2020 06:51 UTC,0,0
KSNT,05/07/2020 07:51 UTC,0,0
KSNT,05/07/2020 08:51 UTC,4.61,180
KSNT,05/07/2020 09:51 UTC,0,0
KSNT,05/07/2020 10:51 UTC,0,0
KSNT,05/07/2020 11:51 UTC,0,0
KSNT,05/07/2020 12:51 UTC,0,0
KSNT,05/07/2020 13:51 UTC,0,0
KSNT,05/07/2020 14:51 UTC,0,0
KSNT,05/07/2020 15:51 UTC,4.61,330
KSNT,05/07/2020 16:51 UTC,8.05,320
KSNT,05/07/2020 17:51 UTC,,
KSNT,05/07/2020 18:51 UTC,6.91,
KSNT,05/07/2020 19:51 UTC,4.61,
KSNT,05/07/2020 20:51 UTC,6.91,
KSNT,05/07/2020 21:51 UTC,9.22,360
KSNT,05/07/2020 22:51 UTC,8.05,350
KSNT,05/07/2020 23:51 UTC,5.75,
